Region;TKO-40;WT-40;WT-50;TKO-50
NLL;Cluster6-TKO40;Cluster6-WT40;Cluster6-WT50;Cluster7-TKO50
PCG;Cluster6-TKO40;Cluster5-WT40;Cluster3-WT50;Cluster3-TKO50
PG;Cluster6-TKO40;Cluster6-WT40;Cluster3-WT50;Cluster4-TKO50
SG;Cluster6-TKO40;Cluster5-WT40;Cluster3-WT50;Cluster3-TKO50
SUT;Cluster6-TKO40;Cluster6-WT40;Cluster6-WT50;Cluster7-TKO50
TRN ;Cluster6-TKO40;Cluster6-WT40;Cluster3-WT50;Cluster4-TKO50
SOC;Cluster5-TKO40;Cluster6-WT40;Cluster5-WT50;Cluster4-TKO50
PSV;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster3-TKO50
PRNc;Cluster5-TKO40;Cluster6-WT40;Cluster3-WT50;Cluster4-TKO50
PRNr;Cluster6-TKO40;Cluster6-WT40;Cluster6-WT50;Cluster7-TKO50
SLC;Cluster6-TKO40;Cluster5-WT40;Cluster3-WT50;Cluster3-TKO50
ANcr1;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
ANcr2;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
COPY;Cluster12-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster12-TKO50
PFL;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster4-TKO50
PRM;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
SIM;Cluster5-TKO40;Cluster11-WT40;Cluster12-WT50;Cluster11-TKO50
CENT2;Cluster6-TKO40;Cluster5-WT40;Cluster3-WT50;Cluster3-TKO50
CENT3;Cluster5-TKO40;Cluster5-WT40;Cluster3-WT50;Cluster3-TKO50
CUL4;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
LING;Cluster6-TKO40;Cluster5-WT40;Cluster3-WT50;Cluster3-TKO50
DN;Cluster12-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster12-TKO50
IP;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster3-TKO50
BST;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
