,0
0,0.9531179625385918
1,0.9668741500390425
2,0.9993017951055289
3,1.0008464655188656
4,1.011712376196076
5,1.0055885388425145
6,1.0070018906980727
7,0.9974841259943931
8,1.0077413226025602
9,1.0010983421068291
10,0.999981365335142
11,0.9972786881329051
12,1.0030859269925152
13,1.007395007596337
14,1.0041701518030213
15,1.0096984243402607
16,1.0046951716486958
17,1.0057088820307698
18,1.0017640892644974
19,1.0012826517237081
20,1.0030709603908605
21,0.9989373816727128
22,1.0059863172983163
23,1.0045311832883914
24,1.0070442325608984
25,1.0072973680161146
26,1.0001427952744921
27,0.9988061407566038
28,0.9999591380102402
29,1.0052531888103295
30,1.0074828902494488
31,0.9919368837849458
32,1.002247986443926
33,1.0037260186278185
34,1.0106358136858689
35,0.9998359594936893
36,1.0026583556124424
37,1.0074551103190175
38,0.9965528733415755
39,0.9989983029550717
40,0.9999180720011543
41,0.9947524715989028
42,0.999680446016594
43,1.0006477982229558
44,1.0032107144517102
45,0.9978388105049891
46,1.0024364167019295
47,0.9942312668324798
48,0.9944095475193307
49,1.0005791712783085
50,0.9985576670109586
51,1.000598635089662
52,0.9672783749937691
53,0.9814484417124144
54,0.9899290919141942
55,0.9926702530663063
56,0.9711962412101836
57,0.9992283840402144
58,0.9696284278965953
59,1.001628750145065
60,1.0173550949280057
61,1.0274793927307615
62,1.0101483995185425
63,1.0198057596130923
64,1.04677521766147
65,1.0528810721326003
66,1.0585213077640785
67,1.0579587095528604
68,1.062579317497088
69,1.0625402518230636
70,1.0563968421638188
71,1.0570381468847676
72,1.0483215988013208
73,1.0439688692587856
74,1.0434863834894939
75,1.0334801621715997
76,1.031683274209677
77,1.032903835592632
78,1.0326028441322666
79,1.0271973938951784
80,1.0205654602170176
81,1.0182341451910601
82,1.018931394572923
83,1.021097200345886
84,1.0113503766628895
85,1.012654065596185
86,1.0088090699442558
87,1.0127425886282009
88,1.0083240129758841
89,1.0102686749803413
90,1.0094158672442166
91,1.0138721629192646
92,1.0014966582926343
93,1.006473162550335
94,1.0135055969715228
95,1.0088558887172792
96,1.0050310436398762
97,1.0019995148128356
98,1.0011331167729143
99,1.0144622907940453
100,0.9978703464397768
101,0.9940781443842877
102,1.0026060243263166
103,0.9986023091733365
104,1.0051055122193637
105,1.0039011682838421
106,1.0027062561373543
107,0.9971473571063444
108,0.99862812476778
109,0.9916423461588825
110,1.0019620385850754
111,1.005606746478153
112,1.0118785152866627
113,1.0022239665389454
114,1.0000370580913063
115,1.0050406929437143
116,1.002847390076284
117,1.0097588455957838
118,1.0037767669196913
119,1.003683505378511
120,1.0010203979362224
121,1.007731397518753
122,1.0156147816315948
123,1.0099050930513926
124,0.9963904920551216
125,0.9976961169617132
126,0.9994577556389433
127,1.0040260757678696
128,0.9979682874845242
129,0.9947633264703489
130,0.9966938666482238
131,0.9955584468030583
132,0.9968484052322985
133,1.0042344960237553
134,0.9960846922396692
135,0.9994841425527499
136,0.9924122674475425
137,0.9940708911881397
138,0.9902978211311753
139,0.9986491466349384
140,1.0000331134158502
141,0.9941843850864425
142,0.9930970508154926
143,0.9955226530067073
144,0.9962905420219376
145,0.9953135146173651
146,1.001301421228218
147,1.0012708151926064
148,0.99929595304238
149,0.9964542910851292
